Infertility,Leukopenia,Multiple Myeloma,Neutropenia,Obesity,Hypertension,Autism Spectrum Disorder,Dementia,Diabetes Mellitus,Hepatitis,Hyperglycemia,Hyperinsulinism,Schizophrenia,Adenocarcinoma,Cleft Lip,Adenoma,Agranulocytosis,Astrocytoma,Atherosclerosis,Carcinoma,Coronary Artery Disease,Endometriosis,Glomerulonephritis,Hypersensitivity,Myocardial Infarction,Nephritis,Neuroblastoma,Osteoporosis,Osteosarcoma,Pericarditis,Polycystic Ovary Syndrome,Pre-Eclampsia,Prostatitis,Sarcoma,Tuberculosis,Uremia,Vasculitis,Arthritis,Hypoglycemia,Urticaria,Intellectual Disability,Blindness,Melanoma,Alopecia,Arteriosclerosis,Leukemia,Lymphoma,Medulloblastoma,Panic Disorder,Rhabdomyosarcoma,Germinoma,Osteoarthritis,Bipolar Disorder,Pheochromocytoma,Syndrome,Aortic Aneurysm,Heroin Dependence,Polycythemia,Fibrosarcoma,Glaucoma,Hepatoblastoma,Hyperhomocysteinemia,Meningioma,Psoriasis,Retinal Degeneration,Retinoblastoma,Choriocarcinoma,Hepatitis C,Lymphadenitis,Retinitis Pigmentosa,Teratoma,Adrenocortical Carcinoma,Burkitt Lymphoma,Leiomyosarcoma,Hepatitis B,Insulinoma,Intracranial Aneurysm,Malaria,Multiple Sclerosis,Myopia,Narcolepsy,Periodontitis,Polycythemia Vera,Amyloidosis,Down Syndrome,Acquired Immunodeficiency Syndrome,Herpes Zoster,Hypotrichosis,Seasonal Affective Disorder,Pseudohypoparathyroidism,Agnosia,Blepharophimosis,Multiple System Atrophy,Prader-Willi Syndrome,Seminoma
Leukopenia,0.9999999999999976,0.8586791966049206,0.9371666651569306,0.801153515331619,0.7925025626338639,0.8072577474092231,0.8516543902624627,0.7973927200603149,0.8429502074450889,0.7916999778626385,0.802975743575134,0.8711232907904124,0.8009498370813524,0.8326433452287759,0.8315124678433486,0.9086652227427745,0.7925617867208068,0.7873659394005766,0.8115968572446876,0.7937620406123003,0.7955087224690865,0.8565296788144979,0.8420899274766014,0.8187487223498269,0.9216681054104694,0.8086216962331976,0.7944460115645391,0.817508503544084,0.8304238252866624,0.8243770153688352,0.7924568325010936,0.7954232764141945,0.8211450555652132,0.7019687891890031,0.8866341227119533,0.8443795713645843,0.8684168428648459,0.9123832552518342,0.9283338373278528,0.8416940822656773,0.8373312340439805,0.8441117549426406,0.8280786712108226,0.839791822566943,0.8525747768944554,0.8883866102270807,0.7704169392017087,0.8842684085735554,0.8431713984360104,0.3508232077228116,0.8204836824663065,0.8756946880828256,0.8101914936669343,0.8196309363334661,0.6034091183455585,0.4803844614152613,0.5910513085525231,0.7878305167210283,0.7713901315435252,0.7374118413588323,0.7266918595431092,0.6756231274259074,0.8361286450726988,0.7185685224287722,0.4361695799101822,0.5409657734587321,0.7221075716046442,0.741030626785665,0.4750168687962833,0.7429946336556041,0.7510676161988107,0.8006659856604267,0.7646014547562557,0.5547001962252291,0.30382181012510007,0.7545451304950168,0.5460375914550679,0.7019687891890031,0.6679474875720747,0.6407032156159433,0.7125253031944244,0.3121472367904247,0.5817744738827395,0.2773500981126145,0.3723417423834345,0.3651483716701108,0.392232270276368,0.20254787341673336,0.33588764910385266,0.2148344622118299,0.1754116038614059,0.1432229748078866,0.1432229748078866,0.20254787341673333
Multiple Myeloma,0.8586791966049206,0.9999999999999963,0.8513556816263602,0.8350737401023073,0.8372647581270823,0.8386008107638366,0.8148748113431217,0.8501515148612677,0.8438434769538906,0.8604320914577994,0.876205481553876,0.78140899424224,0.8685413185160792,0.8217377584649972,0.9162840530575275,0.8157554501229971,0.7694861565103676,0.853256123830646,0.8953132475079784,0.8349867213266876,0.8295209649961568,0.8083129862447621,0.8578584433284424,0.8472535411014694,0.8618225271706068,0.8332159541745945,0.8300346943359009,0.8149905253460571,0.8130392757116769,0.833991864593707,0.8251367405264176,0.7981975646409962,0.8222264517930409,0.6784379175110878,0.8536460571587648,0.8239654378137211,0.8253739376291013,0.8532526522344309,0.8622707658683212,0.825604892343562,0.852527280590157,0.921680206097158,0.8126330607096935,0.8088108866118261,0.8533231353260301,0.8897877631238781,0.7607343458224628,0.8198045718583005,0.8013070976332487,0.3356725433186756,0.8263686767584093,0.8180454979360626,0.7388649142450499,0.748315194193323,0.5610868813251297,0.4289959891251273,0.5655261442407595,0.7538072380341531,0.7443317364987967,0.6990329274915852,0.7568406798195458,0.6464456413247306,0.8000195615761743,0.6875363948641204,0.4280339936694649,0.535149489886538,0.7474526379707204,0.7219198762894647,0.4545027722171248,0.759935752164512,0.7186319815334052,0.7721684605417377,0.7315813472236942,0.5218991442270375,0.29070094986690553,0.7620681666406545,0.5310212501163368,0.671653538335977,0.6391014819458268,0.6205098038891557,0.6610949414067268,0.2986668343393224,0.5566499393061834,0.2653724462171376,0.36898541264091195,0.34937906019040504,0.37529331252040066,0.19380063324460367,0.3213819923028136,0.13703774196550633,0.16783627165933784,0.13703774196550633,0.13703774196550633,0.19380063324460367
Neutropenia,0.9371666651569306,0.8513556816263602,0.9999999999999949,0.7949508101389313,0.7755003135295656,0.8098446638089472,0.8689043524918637,0.7905919060284303,0.8554278208924176,0.7907282997489116,0.8151293544191999,0.8664086557487989,0.8040386423363208,0.8602274863235996,0.8393019909945463,0.904107321110109,0.813700476884449,0.7815693847008259,0.808736084303185,0.8054013660505358,0.7971637117039332,0.8673282530662887,0.8492928422073515,0.8086070437132318,0.9086152824293018,0.8301887258107741,0.8109473993206655,0.8393125562401619,0.8426587150642354,0.8517551156874125,0.8040210442955928,0.8016997811230937,0.823440376745061,0.7134115325941737,0.8932140640957377,0.8611592499592481,0.8856348315966891,0.8890880294753086,0.9029309219242659,0.8641431969160247,0.8651746522317058,0.8411363712326279,0.8610641912375271,0.8451732895199021,0.8695554489657736,0.890745847594649,0.8036204364037827,0.8965753603510154,0.8773580220588506,0.36018013511259855,0.8091157548016862,0.8724515131782635,0.8318003918560595,0.8414915971702303,0.6020520675524301,0.48223702942904795,0.5897220501395091,0.8022670580501459,0.8053872662568307,0.7710996009560586,0.7592785544700408,0.7013500494702274,0.8524263197664854,0.7174291149957052,0.470767056644389,0.5742209763929992,0.7413671529732149,0.7677112288962878,0.4876862083736195,0.7628113010968598,0.7710996009560586,0.8285448005307166,0.7849944052133226,0.550511637536449,0.3119251469460218,0.7808180387752376,0.5422207837941835,0.7061318230779066,0.68576254656424,0.6497697840010499,0.7093617576343574,0.3204726239520354,0.5882413161516672,0.2847473987257496,0.3959251908590269,0.37488737047350723,0.40269363312841483,0.2079500979640145,0.34484622503214224,0.14704292441876154,0.18009006755629928,0.14704292441876154,0.14704292441876154,0.20795009796401448
Obesity,0.801153515331619,0.8350737401023073,0.7949508101389313,1.0,0.8825978271096107,0.9541570028562328,0.8129779724578401,0.9544271444636612,0.8547698581587155,0.9200389574431014,0.9212884029599878,0.7792930693014481,0.9165204048517722,0.8181110244922297,0.8521035454260599,0.7734696943631095,0.7527543243633246,0.9225749227067539,0.8541666666666649,0.931792852606233,0.9229512710173611,0.7424289279703821,0.8516734336351008,0.9242875269267873,0.8226814771430243,0.9228864759788378,0.9045619616586124,0.905751353307681,0.9143835634657741,0.8157245773062762,0.9275959907383687,0.9016362705933854,0.9208333333333313,0.6312190586476307,0.7738232325341354,0.7711079493249934,0.7377125261521782,0.8142915680344579,0.796002945757847,0.8039031321630982,0.7776391273332093,0.8190495084888126,0.7690461660358938,0.7859826888694054,0.7832604499879591,0.820695007936952,0.6939095161954963,0.7621714576670724,0.7557794199669432,0.3061862178478973,0.7820450499985735,0.791409724538585,0.7071067811865485,0.7098845460370934,0.5192169754598102,0.40062884596871273,0.5231143743471867,0.6708203932499389,0.6618314236520744,0.64954638892356,0.6959705453537542,0.5700048799675425,0.7399500264657506,0.6444022325288261,0.40019526483955314,0.4881406047441663,0.6817945071647334,0.664384113295914,0.4145780987944247,0.6875909030811874,0.643587247740775,0.6766093384297874,0.6556100681071865,0.48412291827592746,0.26516504294495524,0.7055791959434837,0.4921875,0.6188422143604222,0.5561583774471056,0.5728219618694799,0.6093041755008968,0.272431183971292,0.5077524002897469,0.24206145913796345,0.33657280044590626,0.3186887195995492,0.34232659844072905,0.17677669529663687,0.2931509849889643,0.12499999999999999,0.15309310892394865,0.125,0.125,0.17677669529663687
Hypertension,0.7925025626338639,0.8372647581270823,0.7755003135295656,0.8825978271096107,1.0000000000000044,0.8910856966994989,0.7711697221785279,0.8911987099543917,0.8275082493807263,0.9246728986706381,0.9040986669718732,0.7449765835499993,0.90970501059451,0.7839870574766962,0.8685499526722645,0.7358860232418203,0.6942086071175105,0.924349123268959,0.8569004209869664,0.8854756434923465,0.8665047979001965,0.7035741690082701,0.7973951775196595,0.9204495579637366,0.7839870574766962,0.8588110151559553,0.9003581145046218,0.8431864889509937,0.8549251487509179,0.7776391253169618,0.8779637971341478,0.8354150190998397,0.8530578182022714,0.5821257870028499,0.7404003317411249,0.7336390377727329,0.7129555721365323,0.7924492613762808,0.760311179518624,0.7797265045686926,0.7690007322791353,0.8232889853424207,0.7647757158233559,0.7470873676376298,0.7268567468830249,0.7903177861989266,0.6597835888771371,0.7515211594866412,0.719926004673904,0.28237248320100694,0.7603235930663774,0.7840755616911933,0.6521113167513776,0.6597089864810495,0.48567519873995735,0.38665444666985005,0.4958297853898394,0.6444240777830849,0.6314040674128675,0.6045233700886911,0.641841205354069,0.5498414147691583,0.7059312080025152,0.5942836351629318,0.36906994538260324,0.4501753073070196,0.6287677132370127,0.6127114185259049,0.38233414965623386,0.6392686851608201,0.6045233700886911,0.6495590121759565,0.6154165593549138,0.4464700977364081,0.24454174378176677,0.6892626904732362,0.46111233416338826,0.5821257870028499,0.5376211908495602,0.5282705437953739,0.5735012244843509,0.2512427582797957,0.4682617889493375,0.22323504886820392,0.3103957392590404,0.293902598732179,0.3157020337064346,0.16302782918784445,0.27035106990111524,0.1729171253112705,0.14118624160050353,0.115278083540847,0.115278083540847,0.16302782918784448
Autism Spectrum Disorder,0.8072577474092231,0.8386008107638366,0.8098446638089472,0.9541570028562328,0.8910856966994989,0.9999999999999978,0.842684215419309,0.9631875589195172,0.8765861383970285,0.9172758090656801,0.9414108366875694,0.7982814390565806,0.9205967400940508,0.8431866200931863,0.8530089452146588,0.7870861581296064,0.7653425531807062,0.9273745626708249,0.854581124358439,0.960352864702778,0.9469554171724001,0.749353411629216,0.8554991145151275,0.9446123072269389,0.8384760803161294,0.9468695497690223,0.9322873305480479,0.9291098137213842,0.933724164187085,0.8454502124079498,0.9644135714603617,0.9249091861099268,0.9318799195265396,0.6505663029413854,0.7875721133816426,0.7846828360058282,0.7551161616928682,0.8346133541384274,0.8106342378665439,0.8333049901082087,0.7966460768707506,0.8262881788362433,0.7973927007677025,0.8051037553668134,0.7921315822201808,0.8318301941725245,0.7151782607678785,0.7855324718557244,0.7789445143505315,0.31557100982293024,0.7914486619700225,0.7970230941475576,0.7287800298788444,0.7316429348949428,0.5274865557594103,0.41290836137290227,0.546636313642052,0.6798584182604982,0.6821169553692491,0.6633135844788702,0.7173024617110717,0.5874758728190443,0.7626299404054148,0.6522936642371788,0.4124614907210138,0.5031024082580213,0.7026919194141628,0.6847478864880074,0.42728516719853965,0.7029044663371252,0.6571717920299918,0.6916318563795653,0.6696718319629178,0.490645550991915,0.27329251120456616,0.7272056232281021,0.515325301120665,0.6378101009229268,0.5732049666574203,0.5903792999778382,0.6215056977433305,0.28078136382933055,0.5233153171481084,0.24948078863995712,0.3468889594776241,0.32845672078279325,0.3528191148461628,0.18219500746971076,0.30213623922651495,0.12883132528016616,0.15778550491146512,0.12883132528016616,0.12883132528016616,0.1821950074697108
Dementia,0.8516543902624627,0.8148748113431217,0.8689043524918637,0.8129779724578401,0.7711697221785279,0.842684215419309,0.9999999999999984,0.8323862618124425,0.8698858849493156,0.7994178826333905,0.8194047758083626,0.8815810766160915,0.7944000767247041,0.9022938501950121,0.8436766503519745,0.8791112902690876,0.8589355607171096,0.7991886979124821,0.8424000324134533,0.82870637726214,0.8108683346381841,0.8464131044074702,0.8637674839351334,0.8082558920164141,0.8696808194650719,0.8194465811080445,0.7961638248538638,0.8332928855435731,0.8469076908765762,0.85566524595134,0.8225335712258867,0.8155441565456688,0.82753414948851,0.7138917464371094,0.8340085045103934,0.8532103661176211,0.7992205425335087,0.8560557342528204,0.8395998587297051,0.862650384266619,0.802256424274623,0.8349184527721416,0.8484880680952215,0.8773997423146045,0.8558235739705686,0.8627875999169851,0.7996571804857604,0.8665224916118967,0.8751729470515266,0.34896584919478274,0.8236101941352308,0.822878015785048,0.8409413299642204,0.8442448441291196,0.5998469443981184,0.4764561216420823,0.6048433257533533,0.7313047448459861,0.7395994635493632,0.7583123825395481,0.7676225253808729,0.6233471861880551,0.8860698083902284,0.732155765394275,0.47594047633771874,0.5710143801472369,0.7495142893861108,0.7691555461942864,0.49304555839388103,0.751249419705422,0.7583123825395481,0.7519062649549807,0.7727362138395746,0.5565613976180889,0.315352998736582,0.8142616660583466,0.5667617865134635,0.7506902900678882,0.6056401781599893,0.6569103256962197,0.7096867885972511,0.3239944068816739,0.6038550190053082,0.2878765849748735,0.4002761477719326,0.37900713560535887,0.40711897076111664,0.21023533249105467,0.3486358577742209,0.14865882924943327,0.18206913871032138,0.14865882924943327,0.14865882924943327,0.2102353324910547
Diabetes Mellitus,0.7973927200603149,0.8501515148612677,0.7905919060284303,0.9544271444636612,0.8911987099543917,0.9631875589195172,0.8323862618124425,1.0000000000000038,0.8528857807735619,0.9175355088433627,0.9379228369755707,0.7885261059505349,0.9330687497017199,0.8235765768699209,0.8674888038915836,0.7774676360394646,0.7663457709704132,0.9237719669414026,0.865347277647053,0.9568657940329361,0.9438482324324087,0.7506212952522922,0.8538471049546048,0.9370224308445239,0.8235765768699209,0.9352984077957257,0.9208943893933654,0.9221052562469879,0.9223136643243159,0.8211220584375034,0.948486173185068,0.9092969447733231,0.920491957104953,0.6426161105878405,0.787795091357015,0.7800622327706681,0.7510323837552041,0.8106737960019184,0.8103752730712835,0.8043074453109289,0.7916798845054401,0.8338379557987753,0.7829317719577275,0.8001740942245374,0.7924189367325312,0.8308970709224476,0.7119147505746518,0.7808130178231519,0.7643634767730659,0.31171460007967866,0.7865730051186012,0.7872831385426666,0.7086260012987097,0.7115834606125351,0.5285917602615144,0.40786244847753844,0.5251628689786951,0.6829324718693651,0.6737812008454133,0.6612743521887996,0.7085367255816569,0.5802966719122946,0.7637007701952103,0.6443223628060478,0.4074210387719414,0.49695428638159045,0.6941047302231992,0.6763799808853823,0.42206356372217463,0.7000057836660992,0.6552076150127556,0.6888259400479921,0.6674475148641826,0.49286405809014355,0.2699527623995085,0.7289606273050188,0.4931206913062281,0.6426161105878405,0.5662001621934802,0.5831646179767073,0.620305540621984,0.2773500981126145,0.5169201850699905,0.24643202904507205,0.3426498312893079,0.3244428422615252,0.3485075176786612,0.17996850826633898,0.2984440079997103,0.12725695259515554,0.15585730003983933,0.12725695259515554,0.12725695259515554,0.17996850826633898
Hepatitis,0.8429502074450889,0.8438434769538906,0.8554278208924176,0.8547698581587155,0.8275082493807263,0.8765861383970285,0.8698858849493156,0.8528857807735619,1.000000000000003,0.8544359759574134,0.8486684247915038,0.8328675641193,0.8371213775625367,0.9005978296566834,0.8743904777865658,0.8367177355366634,0.8028837221403248,0.8597096744486363,0.8663935942066443,0.846809798439942,0.8508965329965886,0.8026800745087818,0.8801193876129744,0.866716577779394,0.8657680793384692,0.8501405307110543,0.8632938504397922,0.8279159320758255,0.8440722199302083,0.878070365464234,0.8548195222198122,0.8156768638237653,0.8391770415090534,0.687184270936278,0.8161060304918136,0.8394760055333947,0.7756155753317266,0.8766929232481472,0.8407872256349811,0.8952979330871306,0.8363864171948743,0.8397721336572402,0.8523621085085644,0.8346715445620427,0.8420471478649224,0.8589058727506859,0.7437208571136756,0.8140915784106971,0.8173753347642171,0.3333333333333334,0.8770268732277441,0.836961270962141,0.7698003589195004,0.7728244062569576,0.5491017941930435,0.4361494439392993,0.561585147486895,0.6876960999787077,0.6956655929999362,0.7006490497453713,0.7515664644844343,0.5991446895152778,0.7944444444444426,0.6952725759026177,0.42505114204222544,0.5314201797141382,0.7422438453270781,0.7232898092384169,0.45133546692422044,0.7424683557292242,0.7006490497453713,0.7124481634021819,0.7137378387084157,0.509478067471573,0.2886751345948129,0.7965868656654053,0.5273207085158234,0.6669729688499167,0.5835841460432114,0.6236095644623245,0.6633263680552939,0.2965855070008697,0.5527707983925667,0.2635231383473649,0.3664140543964698,0.3469443332443554,0.37267799624996495,0.19245008972987526,0.31914236925211265,0.13608276348795434,0.16666666666666669,0.13608276348795434,0.13608276348795434,0.19245008972987523
Hyperglycemia,0.7916999778626385,0.8604320914577994,0.7907282997489116,0.9200389574431014,0.9246728986706381,0.9172758090656801,0.7994178826333905,0.9175355088433627,0.8544359759574134,1.0000000000000067,0.9500217900863538,0.7628752671525232,0.9408291703379597,0.8128511801446646,0.8975562319388528,0.7529849498784277,0.7236579827440545,0.952611845087425,0.8652121461015947,0.9074601402804774,0.8872762777157026,0.728498558332413,0.8312218830153889,0.9296288230720315,0.795276019492888,0.8912285301394419,0.915567699827291,0.874848461137002,0.8871414879778189,0.8062221637022128,0.9034749046107157,0.8749239975319556,0.8812345932516241,0.600871220432107,0.7625103235747124,0.7553775397858533,0.7383427044873688,0.804441385233058,0.7834547865370535,0.8039205780129652,0.7836089047921128,0.8332176166996708,0.792764919079968,0.7509663707139408,0.7482787939416875,0.8107673651002563,0.6929438259160084,0.760360589983295,0.7504663510735113,0.29435114961212294,0.7744616051259399,0.799947075195695,0.6797748618593418,0.687694836192357,0.499147592922182,0.38514327067866255,0.509878988664247,0.671761518625575,0.6581891797879184,0.6301681627608618,0.6690690768544675,0.5731665164641665,0.7162544640561641,0.6194940428432528,0.3847264488350298,0.46927242247781326,0.6554409874936425,0.6387035605561857,0.3985533406496049,0.6663874264765703,0.6244393612812177,0.6717826761354958,0.6358960587868073,0.4654100323316476,0.25491557319725244,0.7134777615810703,0.48067341450088813,0.600871220432107,0.5604278922240318,0.550680576625801,0.5857526370153283,0.26190085483200093,0.48812615993658803,0.23270501616582415,0.32356319443691955,0.30637039002566246,0.32909458989395896,0.16994371546483492,0.281819769837888,0.12016835362522192,0.14717557480606144,0.12016835362522194,0.12016835362522194,0.16994371546483494
